Review Title,Review Text,Star Rating,Date,Author,Tokenised_Review
Went to our nearest kfc,"Went to our nearest kfc, got the wicked variety box, collected and drove back home approx. 8 miles, only quickly looked inside bag and thought all was there, only to realise half my order was missing, no boneless fillets and no hot wings and only 2 bags chips. £25 and half the order missing, need to train staff better. ",1,2026-02-26,Alison Jackson,nearest wicked variety box collected drove home approx mile quickly looked inside bag thought realise half missing boneless fillet hot wing bag chip half missing train staff
Great customer service from Alan,Great customer service from Alan,5,2026-02-26,Darren Davies,great customer service alan
It was a miserable visit ok it was 3…,"It was a miserable visit ok it was 3 o’clock in the afternoon but we got the feeling there was not happy face anywhere 
We could not get a coffee and that’s about the third time 
The food was ok we had unseasoned chips that was nice
I hate writing these moans but if we do not, service will fall  more 
The young lad who served us did his best but we got the impression he was new 
Our receipt was correct but it took some working out
We paid cash at the counter as no cards accepted unless you use those infernal electronic ordering computers 
But we have decided no  more KFC 
Let’s be honest a few pieces of chicken and two small drinks £14.98 we could have a got a good coffee and a nice welcoming snack elsewhere 
So it’s Good Bye KFC 
CAMPERDOWN ",1,2026-02-23,Mr Shaw,miserable oclock afternoon feeling happy face anywhere could coffee third food unseasoned chip hate writing moan service fall young lad served u best impression receipt correct took working paid cash counter card accepted unless infernal electronic ordering computer decided let honest piece two small drink could coffee welcoming snack elsewhere bye camperdown
Friendly staff hot food fast service ,"Friendly staff hot food fast service 

Hot cheese sauce amazing 

KFC if you reading this please please please keep the hot cheese sauce on the menu ",5,2026-02-26,Kelly Dowding,friendly staff hot food fast service hot cheese sauce amazing reading please please please keep hot cheese sauce menu
Taste and quality ,They have changed the recipe for the chicken it is far to salty i went the other week with my girlfriend it was the most terrible experience of food and taste quality I used to love kfc now it has put me off goin back to it ,1,2026-02-11,Stephen,changed recipe far salty week girlfriend terrible food taste quality love put goin
Not had a kfc for many years so decided…,"Not had a kfc for many years so decided to give it a try, big mistake. Food was warm but chicken coating was not crispy like I expected, instead it was soft and fatty/ oily and chicken was not all that good either and fries were salty. No more kfc for me!",1,2026-02-25,Roy,many year decided give try big mistake food warm coating crispy expected instead soft fatty oily either fry salty
No tea or coffee or orange juice.,"No tea or coffee or orange juice.
Food was ok  Quick service, but need a hot drink with meal so will give it a miss in future",2,2026-02-25,Nigel Thir,tea coffee orange juice food quick service hot drink meal give miss future
Went into kfc terminus road today…,Went into kfc terminus road today served by ar chana lovely lady came straight over to help as usual even remembered what I had. ,5,2026-02-25,Jill Corbett,terminus road served ar chana lovely lady came straight help usual remembered
The manager was very helpful and nice…,The manager was very helpful and nice food comes fast ,5,2026-02-24,VANESA VENETICU,manager helpful food come fast
The meal was cold and chicken raw,"The meal was cold and the chicken was uncooked. Also for what you get, it's terrible value for money. ",1,2026-02-21,andy davies,meal cold uncooked terrible value money
Crownhill kfc has to be the slowest in…,"Crownhill kfc has to be the slowest in the country, always asked to park up. You only do chicken how can you not have any cooked especially when you have offers running. Change of management needed",1,2026-02-22,Jonathan Newcombe,crownhill slowest country asked park cooked especially offer running change management needed
Really nice food ,Really nice food and it has good seating and we all had a good meal nothing was wrong with it ,5,2026-02-22,Abigail Barker,food seating meal nothing wrong
After a long flight finally ordered a…,After a long flight finally ordered a family dipping meal (2out of 3 screens for ordering were broken) at Manchester airport t2 It came without the pop corn chicken and 4 portions of chips missing! The chicken that was in the bag was Luke warm… absolute rip off avoid! £46 wasted ,1,2026-02-22,Sarah Booth,long flight finally family dipping meal screen ordering broken manchester airport came without pop corn portion chip missing bag luke warm absolute rip avoid wasted
Avoid the drivethrough,"Had some issues with KFC drive through in the past where they'd just give gravy as a side for all meals. Stopped the drive through for a while, but just in a hurry so went through at Risca. Had to wait a while as they needed to cook the strips for the boneless banquet box meal and the Trilogy box meal. Long story short, brought it out, drove away. Handed the meals out and of the 4 box meals we bought only 1 had no complaints, the boneless banquet box meal. The Trilogy had no popcorn chicken or strip and two pieces of regular chicken and a tower burger, the zinger box meal was a regular fillet, the regular box meal had a zinger. All in all most disappointing.",1,2026-02-22,Lee,issue drive past theyd give gravy side meal stopped drive hurry risca wait needed cook strip boneless banquet box meal trilogy box meal long story short brought drove away handed meal box meal bought complaint boneless banquet box meal trilogy popcorn strip two piece regular tower burger zinger box meal regular fillet regular box meal zinger disappointing
Boneless family feast what's the point? ,"Boneless family feast
£23.99
Buy all items separate SAME PRICE🤔",1,2026-02-20,lee bolton,boneless family feast buy item separate price
Went to London rd branch Glasgow what…,Went to London rd branch Glasgow what crap service. Need to take most of that staff and train. JUST PURE ROTTEN SERVICE AND ONE OF THE MALE STAFF LIFTRED THE COOKIES FROM TRAY AND USED HIS HAND NOT WASHEDSHOCKING,1,2026-02-19,Anthony Agnew,london rd glasgow crap service take staff train pure rotten service male staff liftred cooky tray hand washedshocking
Good service and helpful staff membeers,Good service and helpful staff membeers,4,2026-02-21,Archie Milne,service helpful staff membeers
Absolutely terrible service in the…,Absolutely terrible service in the Kirkby branch Liverpool ,1,2026-02-21,Tracey,absolutely terrible service kirkby liverpool
Can I have some chicken with my salt…,"Can I have some chicken with my salt please.

Wow.",1,2026-02-21,Mark Bull,salt please wow
Good service quick and tasty,Good service quick and tasty ,5,2026-02-21,Oscar Michael,service quick tasty
The food was amazing,"The food was amazing, it was warm delicious and finger lickin good.",5,2026-02-21,Rafe Carpenter,food amazing warm delicious finger lickin
Will never eat kfc again,Will never eat kfc again. Lack of commitment to animal welfare and effect upon public health is a huge issue.,1,2026-02-21,Maggie Walsh,never eat lack commitment animal welfare effect upon public health huge issue
KFC abandon animal welfare ,KFC are abandoning their commitment to animal welfare by dropping the Better Chicken Commitment in favour of self regulation.  Just another corporate putting profit over animal and customer welfare.  Frankenstein Chicken on its way.   ,1,2026-02-21,Tony Snape,abandoning commitment animal welfare dropping commitment favour self regulation another corporate putting profit animal customer welfare frankenstein
Awful food and awful customer service,Awful food and awful customer service,1,2026-02-20,Lewis,awful food awful customer service
 disgusted and outraged…,I am absolutely disgusted and outraged by KFC decision to abandon their commitment to the BETTER CHICKEN COMMITMENTMENT (BCC). This is an act of cruelty on your part. I will NEVER eat your products again and I will spread the message far and wide. ,1,2026-02-20,Joanne D,absolutely disgusted outraged decision abandon commitment commitmentment bcc act cruelty part never eat product spread message far wide
Very good service,Very good service,5,2026-02-18,yo yo,service
The kfc hay market is the worst in south Yorkshire …,"The kfc hay market Sheffield is the worst kfc in south Yorkshire 
The food cold and dry and they snatch money out of your hand. Give you the wrong money polish money give you the wrong order I ask for a Wrap not chicken nuggets and chips and it was cold and staff are rude and arrogant with  no manners if I served food like that I would get the sack and tables are dirty. ",1,2026-02-16,Claire Thompson,hay market sheffield worst south yorkshire food cold dry snatch money hand give wrong money polish money give wrong ask wrap nugget chip cold staff rude arrogant manner served food sack table dirty
Hi fellow Australians,"Hi fellow Australians, I went through the KFC in Keilor Downs Victoria Australia. When l ordered through the drive through l specially said"" Can you make sure my chips are heavily salted in chicken salt please"" When l arrived at the second window l always check my order because of previos experience with the staff always geting my order wrong. I got my chips no salt whats so ever. I asked the staff member in a nice way "" I told you you l wanted the chips to be heavily salted in chicken salt"". She took them away from me and less than a minute she returned with the same chips no different. I waited in the drive thru until she repeated. I told her again"" I come to to KFC for the chips and you can""t even get that right"" She then in turn got her manager who was as rude as hell.  She acussed me of being Drunk, since when does a KFC become a expert in determining whether a person is drunk or not? Do they have a breathalyser"" I watched her salt your chips"" Which was 100 percent bullshit because it tasted like no ckicken salt to me. l said your lying your ass off because there is no salt on these chips. She demanded that l leave the dive through l said"" what are you going to do to about it if l do not, l paid my money, either give me a refund or l will wait for the police"" She gave me my refund. I will never go through the drive through again because once they got you there got you. I really could not be bothered with Victoria police as they are as stupid as hell. This happen on the 15th of Feb of 2026 9.48pm.",1,2026-02-16,Nick Demiri,hi fellow australian keilor down victoria australia drive specially sure chip heavily salted salt please arrived second window check previos staff geting wrong chip salt whats ever asked staff member told wanted chip heavily salted salt took away less minute returned chip different waited drive thru repeated told come chip right turn manager rude hell acussed drunk since become expert determining whether person drunk breathalyser watched salt chip percent bullshit tasted ckicken salt lying as salt chip demanded leave dive paid money either give refund wait police gave refund never drive could bothered victoria police stupid hell happen th feb pm
2 hours no delivery,2 hours no delivery. Didn’t answer phone.,1,2026-02-15,Michelle ,hour delivery answer phone
absolute joke,"absolute joke, paid for a meal and they said i can’t get my chips because im not priority then said i paid for a meal but it wasn’t a meal lol what is it then ??",1,2026-02-15,brianna Rodgers,absolute joke paid meal chip priority paid meal wasnt meal
GOT FOOD POISONED  ,GOT FOOD POISONED  . DONT buy any food it’s so unhygienic that I got food poisoned ,1,2026-02-14,n.a.,food poisoned buy food unhygienic food poisoned
Always get great services nd great taste,Always get great services nd great taste ,5,2026-02-13,Arham Jaan,great service nd great taste
Always Elegant Taste,Always Elegant Taste,5,2026-02-13,Arham Maya,elegant taste
I ordered a kfc for delivery and never got it,I ordered a kfc for delivery ordered to my address after half an hour the delivery driver rang me and said he was at my address i went to the door he wasn't there I walked all the way up the close I live in and no delivery driver he then told me the order was to my address but the location he was given was 2miles away I said no problem mistakes happen he said he has to deliver to his location address 2 miles away basically dumped on someone else's doorstep and take a picture so I am now £50 out of pocket and no food tried contacting just eat and just  a robot can't talk to anybody this happened to me last month and I didn't get a refund so not expecting one this time just eat are absolutely disgusting and don't care just take your money and dump your food anywhere don't order from them unless you are prepared to loose your money i will never order from them again ,1,2026-02-13,Alan cole,delivery address half hour delivery driver rang address door wasnt walked close live delivery driver told address location given mile away problem mistake happen deliver location address mile away basically dumped someone elses doorstep take picture pocket food tried contacting eat robot talk anybody happened month refund expecting eat absolutely disgusting care take money dump food anywhere unless prepared loose money never
Kentucky Shankill Rd,"Kentucky Shankill Rd, Belfast. Absolutely shocking....ordered a 10 piece bucket and in the bucket there was 6 legs of chicken and 4 wings. For the price you have to pay there should be a variety to include chicken breast.",1,2026-02-13,Mrs Nichola Mcerlean,shankill rd belfast absolutely shockingordered piece bucket bucket leg wing price pay variety include breast
Ebbw vale KFC 19.45hrs.,"Ebbw vale KFC 19.45hrs.
Shocking. 
It was freezing inside. No heating on at all. Had to keep coats on. 
Male toilets out of order.
Couldn't order beans. When chdcked no beans, 
After ordering advised no garlic mayo. Order zinger tower burger meal. Came as a wrap as no burger buns. Not advised durong ordering process. The weap was pitiful. Small  small amount of chicken, lettuce and small amount of sausc, not even all the contents advertised.
No trays so came as take away. No serviettes in dispenser. 
Would not go again.",1,2026-02-13,JD,ebbw vale hr shocking freezing inside heating keep coat male toilet couldnt bean chdcked bean ordering advised garlic mayo zinger tower burger meal came wrap burger bun advised durong ordering process weap pitiful small small amount lettuce small amount sausc content advertised tray came take away serviette dispenser
Day light robbery ,"£49 for 14 strips of mini fillets, half arsed zinger box burger and 1 twisted wrap box. No drinks day light robbery. KFC should update the ordering website to reflect the true size of the meals. They are misleading or false advertising. Will not be buying from KFC again. Don't know what's bargain about a bucket without a drink. ",1,2026-02-12,Iqbal Khamisa,strip mini fillet half arsed zinger box burger twisted wrap box drink light robbery update ordering website reflect true size meal misleading false advertising buying whats bargain bucket without drink
It was so horrible and heartbreaking I…,It was so horrible and heartbreaking I was not even half way through my call and they ended it that is horrendous for my mental health I was starving really bad customer service 😔😒💔,1,2026-02-12,Alina Elezi,horrible heartbreaking half call ended horrendous mental health starving customer service
KFC food quality decline,"I always liked the quality of the chips at KFC in Northampton. Even when food purchased from Macdonalds, I always preferred to buy the chips fom KFC.
What they supply now is absolute rubbish.
Shame that they only seem to worry about cost of the product rather than the quality.
I took a picture of the chips supplied but do not want to put anyone off their food.",2,2026-01-31,Les Pace,liked quality chip northampton food purchased macdonalds preferred buy chip fom supply absolute rubbish shame seem worry cost product rather quality took picture chip supplied put anyone food
It’s was very tasty,It’s was very tasty ,3,2026-02-08,Matthew,tasty
Ordered a dipping feast meal £32 all…,"Ordered a dipping feast meal £32 all the chips missing from ordered after paying for delivery through just eat. Rang the store to speak to a women who was not helpful in the slightest and said we are not willing to give the chips even if you drive to store after paying delivery and just go through just eat. I said can I take your name and refused to give her name, disgusting service! Reported to head office, why would we want to just eat chicken and not a meal? Not like it’s even cheap!! ",1,2026-02-07,Emma,dipping feast meal chip missing paying delivery eat rang speak woman helpful slightest willing give chip drive paying delivery eat take name refused give name disgusting service reported head office eat meal cheap
Cold chips/ forgotten items… again ,"Cold chips, forgotten drinks. These guys are the worst providers. Don’t use ",1,2026-02-07,Firstm Lastnn,cold chip forgotten drink guy worst provider
TERRIBLE ,"Good afternoon KFC customer care. Second visit to your new KFC in Heswall, Wirral. First visit was awful, had our food ruined. Today even worse. The place is absolutely FILTHY. Is the customer area a reflection of the food prep area? Revolting. Won't be going back.
I do have pictures of evidence. I don't recommend anyone going there ",1,2026-02-07,Paul,afternoon customer care second heswall wirral first awful food ruined worse absolutely filthy customer area reflection food prep area revolting wont picture evidence recommend anyone
Haywards heath branch excellent service…,Haywards heath branch excellent service and fresh cooked food,5,2026-02-06,Kevin wallis,haywards heath excellent service fresh cooked food
Good service,"Good service, very helpful ",5,2026-02-07,MRBENPARKIN,service helpful
Good stopping point,"Quick service great customer care, happy staff",5,2026-02-06,Ian Booker,quick service great customer care happy staff
Very good service,Very good service ,5,2026-02-06,Jacob Worthington,service
great service and good came immediately,great service and good came immediately ,5,2026-02-06,Harrison Jack,great service came immediately
OMG what ever happened to the KFC secret…,"OMG what ever happened the KFC secret recipe of spices , I've not had kfc  for many years, we have a newly opened branch in Harwich Essex, today Friday the 6 Feb. 2026 1pm, we ordered a 10-piece bargain bucket Original, well at first glance the chicken looked like a soggy rag!! Oily and no crispiness to it all, and as for the secret spice it's so secrete, they forgot the add it the batter. The chips were uncooked and raw and limp as a dish cloth. £19.99 all went in the Bin,!!!!! never again will we use or recommend KFC ,Asda do a better spiced chicken for around 4.oo , okay you have to cook it, but ill be doing that always from now on. ",1,2026-02-06,Gary Wakefield,omg ever happened secret recipe spice many year newly opened harwich essex friday feb pm piece bargain bucket original first glance looked soggy rag oily crispiness secret spice secrete forgot add batter chip uncooked raw limp dish cloth bin never recommend asda spiced around oo cook ill
Potentially racist unwelcoming staff at Exeter sidwell kfc. ,"I recently visited the KFC on Sidwell Street in Exeter to try the new Honey Drip chicken burger. Unfortunately, the food itself was disappointing — it had no spice whatsoever and cost significantly more than the advertised price.

However, the bigger issue was the service. On that visit, the staff member serving me looked me up and down and then accused me of trying to pay with fake money. She took the cash away to check with her manager, who confirmed that it was real. No apology was offered.

When I returned another day, I was served by the same member of staff. Before ordering, I asked politely if I could use the toilet as I was desperate. I was told that the toilets were for customers only. I explained that I was a customer, but instead of resolving the situation, I was told I could speak to the manager. At that point I chose to leave and go somewhere more welcoming.

The repeated attitude and treatment made me feel judged based on my appearance, and honestly came across as stereotyping at best. It left me feeling uncomfortable and unwelcome, which is not how anyone should feel when visiting a fast-food restaurant.

Very disappointing experience overall — both in terms of food quality and customer service.",1,2026-02-05,Shawn Edwardes,recently sidwell street exeter try honey drip burger unfortunately food disappointing spice whatsoever cost significantly advertised price however bigger issue service staff member serving looked accused trying pay fake money took cash away check manager confirmed real apology offered returned another served member staff ordering asked politely could toilet desperate told toilet customer explained customer instead resolving situation told could speak manager point chose leave somewhere welcoming repeated attitude treatment made feel judged based appearance honestly came across stereotyping best left feeling uncomfortable unwelcome anyone feel visiting fastfood restaurant disappointing overall term food quality customer service
Great staff,Went into the Union St branch in Aberdeen (12501) and was pleasantly surprised. The shop was clean and tidy. The tables were cleared and the staff were friendly. A young chap called Liam particularly stood out to me. Kindly went out of his way to help me. The food was good but the staffs efforts made my day. ,5,2026-02-04,Meg,union st aberdeen pleasantly surprised shop clean tidy table cleared staff friendly young chap called liam particularly stood kindly help food staff effort made
Good service ,"My experience was fantastic due the help and patience of the staff all willing to help.
I found Naomi and Nicole are always there  to ensure good service and hot delicious food.
KFC at Weston-super-Mare Gallagher Retail Park is super convenient for when we come into town,we go here maybe 5-6 times a week. ",5,2026-02-03,Scruffy,fantastic due help patience staff willing help found naomi nicole ensure service hot delicious food westonsupermare gallagher retail park super convenient come townwe maybe time week
It isn’t nice and tastes of nothing and…,It isn’t nice and tastes of nothing and quite frankly it’s embarrassing. The portion size is tiny the gravy pot and popcorn chicken are half the size they used to be and I wouldn’t say it’s worth the money one bit.,3,2026-02-03,chris barber,isnt taste nothing quite frankly embarrassing portion size tiny gravy pot popcorn half size wouldnt worth money bit
Chicken was so small,"Chicken was so small, ordered 6 pwice chicken with fries and 2 large sides. Chicken was honestly the size of my finger, ordered through uber eats and had 2 stops along the way so it was stone cold, Unfortunately we have had previous negative experiences with KFC, its not like it used to be, definitely lost another 7 customers as my family won't eat from here again. What happened to KFC I dont know but I will go elsewhere for my Chicken from now on as 2 hours after we have eaten we are starving. ",1,2026-02-03,Stephanie Davies,small pwice fry large side honestly size finger uber eats stop along stone cold unfortunately previous negative experience definitely lost another customer family wont eat happened elsewhere hour eaten starving
Chicken has an after taste that is so…,Chicken has an after taste that is so awful and smells bad ,1,2026-02-02,Munashe,taste awful smell
No refund and no food.,My daughter and her friends went to KFC Cabot circus in Bristol. My daughter used her card to pay for the food (it was her birthday) the kiosk didn’t give a receipt so she went to the counter. Another customer confirmed to the worker she did pay for her food as he was behind her. She was told to get it up on her banking app but there was not WiFi. Due to a language barrier my daughter thought she was told to leave. I then had a call to say she has no food and they had taken her money. On the journey into the city centre I tried to call the store repeatedly no answer so I arrive and it’s explained that the worker asked her to go outside and bring up her banking. She is austic and communication was hard and she didn’t understand. I showed the worker the payment in her account and he advised it was just pending and would bounce back. While in my journey I contacted KFC on line and was given a voucher for my inconvenience and had to get the refund at the store. Still no refund over a week later so contacted kfc online again as once again the store don’t answer the phone. Gave lots of details including a picture of the note the worker gave me confirming the money would be back in 3-5 days and my daughters card digits. Was told they would be in touch. Received a email yesterday to advise as they gave me a voucher they couldn’t help with the refund only the store can. They made me wait longer and I’m in the same position. Unsure why they asked for all the details and card number and still not refund. The voucher was for inconvenience not the refund. It wasn’t even the amount that was spent. Terrible experience all round. Will never step foot in KFC again,1,2026-01-24,Carly,daughter friend cabot circus bristol daughter card pay food birthday kiosk give receipt counter another customer confirmed worker pay food behind told banking app wifi due language barrier daughter thought told leave call food taken money journey city centre tried call repeatedly answer arrive explained worker asked outside bring banking austic communication hard understand showed worker payment account advised pending bounce journey contacted line given voucher inconvenience refund refund week later contacted online answer phone gave lot detail including picture note worker gave confirming money day daughter card digit told touch received email yesterday advise gave voucher couldnt help refund made wait longer position unsure asked detail card number refund voucher inconvenience refund wasnt amount spent terrible round never step foot
better then mcdonalds,better then mcdonalds plus my nan is gay she loves mcdonalds thats why i fdont like her,5,2026-02-03,bob,mcdonalds plus nan gay love mcdonalds fdont
We often have a takeaway Saturday…but kfc,"We often have a takeaway Saturday night, obviously kfc often gets the vote. But over the recent past, starting with the change of chips, which are now beyond awful, not that long ago you could pick 4 sides for £5 then all of a sudden you have to buy them separately at £2.99 each. So a sudden jump from £5 for 4 to £12 for 4 .....what a ripoff!!! 
So where we used to like a couple of salads and a coleslaw, now get a salad bowl and coleslaw from marks and Spencers if we know fancy some chicken. 
So well done kfc your starting to drive people elsewhere with your ripoff pricing because it's becoming a very expensive takeaway.",2,2026-01-31,Brian Neale,often takeaway saturday night obviously often get vote recent past starting change chip beyond awful long could pick side sudden buy separately sudden jump ripoff couple salad coleslaw salad bowl coleslaw mark spencer fancy done starting drive elsewhere ripoff pricing becoming expensive takeaway
Got amazing service from a young girl…,Got amazing service from a young girl don't know the name but amazing young women she's cute to. But most important thing of all food was delicious ,5,2026-02-02,Hayden,amazing service young girl name amazing young woman shes cute important food delicious
Nzia was very exceptional,Nzia was very exceptional ,5,2026-02-02,Jasper Jerkins Anderson,nzia exceptional
Delivered Mighty Bucket for One,"Delivered Mighty Bucket for One – these “wings” are a joke
I ordered a Mighty Bucket for One from KFC on 30/01/2026, and what turned up was honestly embarrassing. The two chicken wings included in the meal were tiny — absolutely nothing like what KFC advertises. I’ve attached a photo because you really have to see it to believe it.
For the price of the meal, I expect proper portions, not two miniature scraps that look like they’ve come from the world’s smallest chicken. There was barely any meat on them, and it felt like a complete rip‑off.
KFC needs to sort out its portion sizes and quality control, especially for delivery orders. Customers shouldn’t be paying full price for food that looks like this. Really disappointing experience.",1,2026-01-30,CARL DOUGLAS,delivered mighty bucket wing joke mighty bucket turned honestly embarrassing two wing included meal tiny absolutely nothing advertises attached photo believe price meal expect proper portion two miniature scrap look theyve come world smallest barely meat felt complete ripoff need sort portion size quality control especially delivery order customer shouldnt paying full price food look disappointing
KFC Inverness,"KFC Inverness, wings are about half the size they used to be and price has gone up. Very poor selection in drinks, no hot drinks",2,2026-01-31,Johnny P,inverness wing half size price gone poor selection drink hot drink
I ordered a 6 peice sharing bucket with…,"I ordered a 6 peice sharing bucket with fries and specifically asked for
2 x breasts
2 x thighs 
2 x legs
The reason being I only like breast and thighs and my partner prefers thighs and legs.My order arrived 20 mins late and consisted of 2 thighs and 4 legs. This was such a disappointment.The order was placed at the Leicester Forest East branch in Leicester and I won't be ordering from them again.It would have been nice if the person in charge of my order took a couple of minutes to read my request.Very very disappointing.",2,2026-02-01,Michael Mullahy,peice sharing bucket fry specifically asked breast thigh leg reason breast thigh partner prefers thigh legsmy arrived min late consisted thigh leg disappointmentthe placed leicester forest east leicester wont ordering againit person charge took couple minute read requestvery disappointing
I GOT VERY HOT AND FRESH FOOD WITH VERY…,"I GOT VERY HOT AND FRESH FOOD WITH VERY CLEAN ATMOSPHERE... 
THANK YOU.",5,2026-01-31,kainat mumraiz,hot fresh food clean atmosphere thank
Very friendly environment of staff and…,Very friendly environment of staff and tasty food..,5,2026-01-30,Maan Shekhawat,friendly environment staff tasty food
Very good like the bargin bucket but…,Very good like the bargin bucket but little bit expensive ,5,2026-01-31,Mr Marvin Williams,bargin bucket little bit expensive
How bad was this experience with KFC,"I tried to order from them as I am doing a lot of things at home after important work had been done.  I thought KFC.  I tried to put my address.  No it is not having it.  It wanted me to be in London.  I am 200 miles away.  I then got it on, my correct address, but they changed it.  It would not accept my proper address.   No they wanted it to be in London and would only accept it being in London.  Therefore they LOST MONEY.  I have told them and insisted that they tell all share holders that their pathetic site is LOSING THEM MONEY. 

So I have bought from elsewhere with no problems whatsoever.",1,2026-01-31,John Alan Ramsden,tried lot thing home important done thought tried put address wanted london mile away correct address changed accept proper address wanted london accept london therefore lost money told insisted tell share holder pathetic site losing money bought elsewhere problem whatsoever
Great ,Service was great and food came extremely fast ,5,2026-01-31,Max McCabe,service great food came extremely fast
Absolute rubbish.,"Absolute rubbish.. tried to add blue light  discount but wouldn’t let us.. just went to burger king instead… 

What a joke app! ",1,2026-01-31,Andrew Herbert,absolute rubbish tried add blue light discount wouldnt let u burger king instead joke app
Poor service from KFC,"I went to the Braintree branch at the bottom of the A120, as we are both oap’s we don’t know how to order on the machine so went to the counter to order as we do in mc Donald but they said blantly said no next problem you can’t chose what chicken you can have they decided, they give me two drumsticks I said I wanted a thigh but that was a no no so I do not recommend this place",1,2026-01-30,Kevin,braintree bottom oaps machine counter mc donald blantly next problem chose decided give two drumstick wanted thigh recommend
